image_id,discard_reason,technical_warning_name
1329.png,demasiados componentes/células segmentadas,warning_too_many_components
1330.png,demasiados componentes/células segmentadas,warning_too_many_components
1331.png,demasiados componentes/células segmentadas,warning_too_many_components
1332.png,demasiados componentes/células segmentadas,warning_too_many_components
1333.png,demasiados componentes/células segmentadas,warning_too_many_components
1334.png,demasiados componentes/células segmentadas,warning_too_many_components
1336.png,demasiados componentes/células segmentadas,warning_too_many_components
1337.png,demasiados componentes/células segmentadas,warning_too_many_components
1338.png,demasiados componentes/células segmentadas,warning_too_many_components
1339.png,demasiados componentes/células segmentadas,warning_too_many_components
1341.png,demasiados componentes/células segmentadas,warning_too_many_components
1342.png,demasiados componentes/células segmentadas,warning_too_many_components
1343.png,demasiados componentes/células segmentadas,warning_too_many_components
1344.png,demasiados componentes/células segmentadas,warning_too_many_components
1346.png,demasiados componentes/células segmentadas,warning_too_many_components
1347.png,demasiados componentes/células segmentadas,warning_too_many_components
1348.png,demasiados componentes/células segmentadas,warning_too_many_components
1349.png,demasiados componentes/células segmentadas,warning_too_many_components
1350.png,demasiados componentes/células segmentadas,warning_too_many_components
1351.png,demasiados componentes/células segmentadas,warning_too_many_components
1352.png,demasiados componentes/células segmentadas,warning_too_many_components
1358.png,demasiados componentes/células segmentadas,warning_too_many_components
1359.png,demasiados componentes/células segmentadas,warning_too_many_components
1360.png,demasiados componentes/células segmentadas,warning_too_many_components
1363.png,demasiados componentes/células segmentadas,warning_too_many_components
1364.png,demasiados componentes/células segmentadas,warning_too_many_components
1365.png,demasiados componentes/células segmentadas,warning_too_many_components
1366.png,demasiados componentes/células segmentadas,warning_too_many_components
1367.png,demasiados componentes/células segmentadas,warning_too_many_components
1368.png,demasiados componentes/células segmentadas,warning_too_many_components
1369.png,demasiados componentes/células segmentadas,warning_too_many_components
1370.png,demasiados componentes/células segmentadas,warning_too_many_components
1371.png,demasiados componentes/células segmentadas,warning_too_many_components
1372.png,demasiados componentes/células segmentadas,warning_too_many_components
1374.png,demasiados componentes/células segmentadas,warning_too_many_components
1376.png,demasiados componentes/células segmentadas,warning_too_many_components
1377.png,demasiados componentes/células segmentadas,warning_too_many_components
1378.png,demasiados componentes/células segmentadas,warning_too_many_components
1379.png,demasiados componentes/células segmentadas,warning_too_many_components
1383.png,demasiados componentes/células segmentadas,warning_too_many_components
1387.png,demasiados componentes/células segmentadas,warning_too_many_components
1388.png,demasiados componentes/células segmentadas,warning_too_many_components
1389.png,demasiados componentes/células segmentadas,warning_too_many_components
1390.png,demasiados componentes/células segmentadas,warning_too_many_components
1392.png,demasiados componentes/células segmentadas,warning_too_many_components
1393.png,demasiados componentes/células segmentadas,warning_too_many_components
1394.png,demasiados componentes/células segmentadas,warning_too_many_components
1395.png,demasiados componentes/células segmentadas,warning_too_many_components
1397.png,demasiados componentes/células segmentadas,warning_too_many_components
1398.png,demasiados componentes/células segmentadas,warning_too_many_components
1399.png,demasiados componentes/células segmentadas,warning_too_many_components
1400.png,demasiados componentes/células segmentadas,warning_too_many_components
1401.png,demasiados componentes/células segmentadas,warning_too_many_components
1402.png,demasiados componentes/células segmentadas,warning_too_many_components
1403.png,demasiados componentes/células segmentadas,warning_too_many_components
1404.png,demasiados componentes/células segmentadas,warning_too_many_components
1406.png,demasiados componentes/células segmentadas,warning_too_many_components
1407.png,demasiados componentes/células segmentadas,warning_too_many_components
1410.png,demasiados componentes/células segmentadas,warning_too_many_components
1411.png,demasiados componentes/células segmentadas,warning_too_many_components
1412.png,demasiados componentes/células segmentadas,warning_too_many_components
1413.png,demasiados componentes/células segmentadas,warning_too_many_components
1414.png,demasiados componentes/células segmentadas,warning_too_many_components
1415.png,demasiados componentes/células segmentadas,warning_too_many_components
1416.png,demasiados componentes/células segmentadas,warning_too_many_components
1417.png,demasiados componentes/células segmentadas,warning_too_many_components
1418.png,demasiados componentes/células segmentadas,warning_too_many_components
1420.png,demasiados componentes/células segmentadas,warning_too_many_components
1421.png,demasiados componentes/células segmentadas,warning_too_many_components
1423.png,demasiados componentes/células segmentadas,warning_too_many_components
1424.png,demasiados componentes/células segmentadas,warning_too_many_components
1425.png,demasiados componentes/células segmentadas,warning_too_many_components
1428.png,demasiados componentes/células segmentadas,warning_too_many_components
1429.png,demasiados componentes/células segmentadas,warning_too_many_components
